,index,0
0,2015-07-01,20381245.0
1,2015-07-02,20752194.0
2,2015-07-03,19573967.0
3,2015-07-04,20439645.0
4,2015-07-05,20772109.0
5,2015-07-06,22544669.0
6,2015-07-07,21210887.0
7,2015-07-08,19107911.0
8,2015-07-09,19993848.0
9,2015-07-10,20201821.0
10,2015-07-11,19697811.0
11,2015-07-12,20232622.0
12,2015-07-13,20516284.0
13,2015-07-14,19701242.0
14,2015-07-15,19563106.0
15,2015-07-16,19658463.0
16,2015-07-17,18989969.0
17,2015-07-18,18364385.0
18,2015-07-19,18825015.0
19,2015-07-20,20338627.0
20,2015-07-21,19740114.0
21,2015-07-22,19536361.0
22,2015-07-23,19620144.0
23,2015-07-24,18639334.0
24,2015-07-25,19317992.0
25,2015-07-26,20404878.0
26,2015-07-27,20155604.0
27,2015-07-28,19891238.0
28,2015-07-29,27562967.0
29,2015-07-30,18497101.0
30,2015-07-31,17928619.0
31,2015-08-01,18184589.0
32,2015-08-02,19406979.0
33,2015-08-03,18952314.0
34,2015-08-04,20533464.0
35,2015-08-05,20246181.0
36,2015-08-06,20060143.0
37,2015-08-07,19118751.0
38,2015-08-08,19440903.0
39,2015-08-09,19711586.0
40,2015-08-10,19852185.0
41,2015-08-11,18373717.0
42,2015-08-12,19389981.0
43,2015-08-13,19189292.0
44,2015-08-14,19448047.0
45,2015-08-15,19307161.0
46,2015-08-16,19678502.0
47,2015-08-17,20307325.0
48,2015-08-18,20082806.0
49,2015-08-19,18899128.0
50,2015-08-20,19086124.0
51,2015-08-21,18898178.0
52,2015-08-22,18795849.0
53,2015-08-23,19889634.0
54,2015-08-24,20207892.0
55,2015-08-25,18560859.0
56,2015-08-26,18092700.0
57,2015-08-27,17864810.0
58,2015-08-28,17294989.0
59,2015-08-29,17841510.0
60,2015-08-30,18196735.0
61,2015-08-31,20550338.0
62,2015-09-01,18080223.0
63,2015-09-02,18416432.0
64,2015-09-03,17852452.0
65,2015-09-04,17481223.0
66,2015-09-05,17902157.0
67,2015-09-06,18996520.0
68,2015-09-07,19742704.0
69,2015-09-08,19648010.0
70,2015-09-09,18609461.0
71,2015-09-10,18072668.0
72,2015-09-11,18555510.0
73,2015-09-12,18931481.0
74,2015-09-13,19064493.0
75,2015-09-14,19220060.0
76,2015-09-15,19269602.0
77,2015-09-16,18231321.0
78,2015-09-17,18204057.0
79,2015-09-18,17712486.0
80,2015-09-19,17854066.0
81,2015-09-20,19607284.0
82,2015-09-21,20802582.0
83,2015-09-22,18833659.0
84,2015-09-23,19586929.0
85,2015-09-24,17953503.0
86,2015-09-25,17808689.0
87,2015-09-26,18096935.0
88,2015-09-27,18695801.0
89,2015-09-28,20307223.0
90,2015-09-29,17538877.0
91,2015-09-30,19702450.0
92,2015-10-01,18840697.0
93,2015-10-02,18537731.0
94,2015-10-03,18301278.0
95,2015-10-04,18939702.0
96,2015-10-05,19282653.0
97,2015-10-06,18265253.0
98,2015-10-07,18840988.0
99,2015-10-08,19047312.0
100,2015-10-09,18440817.0
101,2015-10-10,18938321.0
102,2015-10-11,19121832.0
103,2015-10-12,20286343.0
104,2015-10-13,19559575.0
105,2015-10-14,18802022.0
106,2015-10-15,18822460.0
107,2015-10-16,17868389.0
108,2015-10-17,18036102.0
109,2015-10-18,19028520.0
110,2015-10-19,21347607.0
111,2015-10-20,20669053.0
112,2015-10-21,21553554.0
113,2015-10-22,21469391.0
114,2015-10-23,18919155.0
115,2015-10-24,17532501.0
116,2015-10-25,20101332.0
117,2015-10-26,20545890.0
118,2015-10-27,20892326.0
119,2015-10-28,20538568.0
120,2015-10-29,18817869.0
121,2015-10-30,18179530.0
122,2015-10-31,18120563.0
123,2015-11-01,17973094.0
124,2015-11-02,21329021.0
125,2015-11-03,21050933.0
126,2015-11-04,20017882.0
127,2015-11-05,19777471.0
128,2015-11-06,18059062.0
129,2015-11-07,17536850.0
130,2015-11-08,18536679.0
131,2015-11-09,20775262.0
132,2015-11-10,19631183.0
133,2015-11-11,19202046.0
134,2015-11-12,18796807.0
135,2015-11-13,18115623.0
136,2015-11-14,18071079.0
137,2015-11-15,19122767.0
138,2015-11-16,20877193.0
139,2015-11-17,19786022.0
140,2015-11-18,19888465.0
141,2015-11-19,19153768.0
142,2015-11-20,17571728.0
143,2015-11-21,18951935.0
144,2015-11-22,19460547.0
145,2015-11-23,20561700.0
146,2015-11-24,19454519.0
147,2015-11-25,18815903.0
148,2015-11-26,18137351.0
149,2015-11-27,17900461.0
150,2015-11-28,19148652.0
151,2015-11-29,19277043.0
152,2015-11-30,21366420.0
153,2015-12-01,20099427.0
154,2015-12-02,18205049.0
155,2015-12-03,18574825.0
156,2015-12-04,17961520.0
157,2015-12-05,18167049.0
158,2015-12-06,18411552.0
159,2015-12-07,21106509.0
160,2015-12-08,20075408.0
161,2015-12-09,18032665.0
162,2015-12-10,16571493.0
163,2015-12-11,17547647.0
164,2015-12-12,16255060.0
165,2015-12-13,18341734.0
166,2015-12-14,19253442.0
167,2015-12-15,17266631.0
168,2015-12-16,17619356.0
169,2015-12-17,16540916.0
170,2015-12-18,16280140.0
171,2015-12-19,16650087.0
172,2015-12-20,16678204.0
173,2015-12-21,17800819.0
174,2015-12-22,17440969.0
175,2015-12-23,17778614.0
176,2015-12-24,17208838.0
177,2015-12-25,15979689.0
178,2015-12-26,17885213.0
179,2015-12-27,17404526.0
180,2015-12-28,18944273.0
181,2015-12-29,17566644.0
182,2015-12-30,17379479.0
183,2015-12-31,16956025.0
184,2016-01-01,16357307.0
185,2016-01-02,17614566.0
186,2016-01-03,17537448.0
187,2016-01-04,19232035.0
188,2016-01-05,18142931.0
189,2016-01-06,18377878.0
190,2016-01-07,17277663.0
191,2016-01-08,16437934.0
192,2016-01-09,16439118.0
193,2016-01-10,17278324.0
194,2016-01-11,19101592.0
195,2016-01-12,18446226.0
196,2016-01-13,17198241.0
197,2016-01-14,18142839.0
198,2016-01-15,17463095.0
199,2016-01-16,18220069.0
200,2016-01-17,18696825.0
201,2016-01-18,19388247.0
202,2016-01-19,19658939.0
203,2016-01-20,18722000.0
204,2016-01-21,18927908.0
205,2016-01-22,16902280.0
206,2016-01-23,17528883.0
207,2016-01-24,17619260.0
208,2016-01-25,20102379.0
209,2016-01-26,18640556.0
210,2016-01-27,19257875.0
211,2016-01-28,17268076.0
212,2016-01-29,17158376.0
213,2016-01-30,17088067.0
214,2016-01-31,18357890.0
215,2016-02-01,20277797.0
216,2016-02-02,18918364.0
217,2016-02-03,18859009.0
218,2016-02-04,18481040.0
219,2016-02-05,17843144.0
220,2016-02-06,18587860.0
221,2016-02-07,19309521.0
222,2016-02-08,20739786.0
223,2016-02-09,20397500.0
224,2016-02-10,17795970.0
225,2016-02-11,15992018.0
226,2016-02-12,16617595.0
227,2016-02-13,17480703.0
228,2016-02-14,18726755.0
229,2016-02-15,20032776.0
230,2016-02-16,20575541.0
231,2016-02-17,20476918.0
232,2016-02-18,18843191.0
233,2016-02-19,17769660.0
234,2016-02-20,17818972.0
235,2016-02-21,18605493.0
236,2016-02-22,20419679.0
237,2016-02-23,19124130.0
238,2016-02-24,18960222.0
239,2016-02-25,19336523.0
240,2016-02-26,18111279.0
241,2016-02-27,18717099.0
242,2016-02-28,19800231.0
243,2016-02-29,21580285.0
244,2016-03-01,19914759.0
245,2016-03-02,19662849.0
246,2016-03-03,21093766.0
247,2016-03-04,17953831.0
248,2016-03-05,19490845.0
249,2016-03-06,18435284.0
250,2016-03-07,19338545.0
251,2016-03-08,18439356.0
252,2016-03-09,18144431.0
253,2016-03-10,17279017.0
254,2016-03-11,15675061.0
255,2016-03-12,16375523.0
256,2016-03-13,14680683.0
257,2016-03-14,18617818.0
258,2016-03-15,16794809.0
259,2016-03-16,16286673.0
260,2016-03-17,16038697.0
261,2016-03-18,15873151.0
262,2016-03-19,14503762.0
263,2016-03-20,14020835.0
264,2016-03-21,15315617.0
265,2016-03-22,14483494.0
266,2016-03-23,15114546.0
267,2016-03-24,14594564.0
268,2016-03-25,14088380.0
269,2016-03-26,14588211.0
270,2016-03-27,15326802.0
271,2016-03-28,17449545.0
272,2016-03-29,15724981.0
273,2016-03-30,15307228.0
274,2016-03-31,14506700.0
275,2016-04-01,13658940.0
276,2016-04-02,15130113.0
277,2016-04-03,16171487.0
278,2016-04-04,18152644.0
279,2016-04-05,17002940.0
280,2016-04-06,17028051.0
281,2016-04-07,16822207.0
282,2016-04-08,16176598.0
283,2016-04-09,17166429.0
284,2016-04-10,17373626.0
285,2016-04-11,19206658.0
286,2016-04-12,18442388.0
287,2016-04-13,17128951.0
288,2016-04-14,17172743.0
289,2016-04-15,16607812.0
290,2016-04-16,17183260.0
291,2016-04-17,17533692.0
292,2016-04-18,20146900.0
293,2016-04-19,18546540.0
294,2016-04-20,17679779.0
295,2016-04-21,15695601.0
296,2016-04-22,15575135.0
297,2016-04-23,16668345.0
298,2016-04-24,17780974.0
299,2016-04-25,20181132.0
300,2016-04-26,17808242.0
301,2016-04-27,17623987.0
302,2016-04-28,17918962.0
303,2016-04-29,16022991.0
304,2016-04-30,17187067.0
305,2016-05-01,18196421.0
306,2016-05-02,19709578.0
307,2016-05-03,19145762.0
308,2016-05-04,18694402.0
309,2016-05-05,16769543.0
310,2016-05-06,16408249.0
311,2016-05-07,17230836.0
312,2016-05-08,17879665.0
313,2016-05-09,19255988.0
314,2016-05-10,18923790.0
315,2016-05-11,18153008.0
316,2016-05-12,18433840.0
317,2016-05-13,16814146.0
318,2016-05-14,18159419.0
319,2016-05-15,19180693.0
320,2016-05-16,21098266.0
321,2016-05-17,18961184.0
322,2016-05-18,17964589.0
323,2016-05-19,17644337.0
324,2016-05-20,16155338.0
325,2016-05-21,17892895.0
326,2016-05-22,15627834.0
327,2016-05-23,19552324.0
328,2016-05-24,18482388.0
329,2016-05-25,18780655.0
330,2016-05-26,17895277.0
331,2016-05-27,16353584.0
332,2016-05-28,18103229.0
333,2016-05-29,18999905.0
334,2016-05-30,19554349.0
335,2016-05-31,19027321.0
336,2016-06-01,18728546.0
337,2016-06-02,17306983.0
338,2016-06-03,15919989.0
339,2016-06-04,15622374.0
340,2016-06-05,18882726.0
341,2016-06-06,21889972.0
342,2016-06-07,19095397.0
343,2016-06-08,20112445.0
344,2016-06-09,18967637.0
345,2016-06-10,17794192.0
346,2016-06-11,20298089.0
347,2016-06-12,21558267.0
348,2016-06-13,22985454.0
349,2016-06-14,21595791.0
350,2016-06-15,19535468.0
351,2016-06-16,18199529.0
352,2016-06-17,16321831.0
353,2016-06-18,18408932.0
354,2016-06-19,19029793.0
355,2016-06-20,20929191.0
356,2016-06-21,19773621.0
357,2016-06-22,19879846.0
358,2016-06-23,19587009.0
359,2016-06-24,17865705.0
360,2016-06-25,19308710.0
361,2016-06-26,20247955.0
362,2016-06-27,18666240.0
363,2016-06-28,20016297.0
364,2016-06-29,19576627.0
365,2016-06-30,23209383.0
366,2016-07-01,17242886.0
367,2016-07-02,20218116.0
368,2016-07-03,20830774.0
369,2016-07-04,21616663.0
370,2016-07-05,18720588.0
371,2016-07-06,14506067.0
372,2016-07-07,14876774.0
373,2016-07-08,16096936.0
374,2016-07-09,18411008.0
375,2016-07-10,20355378.0
376,2016-07-11,21422204.0
377,2016-07-12,20018252.0
378,2016-07-13,19217592.0
379,2016-07-14,19210468.0
380,2016-07-15,17863040.0
381,2016-07-16,20206353.0
382,2016-07-17,20715838.0
